country_code,country_name,observations,p25,p50,p75,country_name_pwt,kl_2006_2019,kl_years_available,cn_2006_2019,emp_2006_2019,country_name_wdi,gdppc_ppp_2006_2019,gdppc_years_available,log_markdown_p50,log_kl,log_kl_sq,log_gdppc_ppp,has_empirical_core
ALB,Albania,43,1.05,2.63,6.95,Albania,171819.48900708012,14.0,171349.39174107142,0.9900682568550108,Albania,12986.550183821886,14.0,0.9669838461896731,12.05419972218623,145.30373094235458,9.471669499629904,True
AGO,Angola,92,0.65,0.97,1.43,Angola,83348.2879422255,14.0,1034024.1138392857,12.144184589385985,Angola,10809.915171156523,14.0,-0.030459207484708574,11.330783347382802,128.3866512653274,9.288219063345899,True
ARG,Argentina,560,1.38,2.21,3.72,Argentina,168765.59754544482,14.0,3188391.3660714286,18.746072087969107,Argentina,27690.924258583782,14.0,0.7929925155296614,12.03626603436233,144.87170004994428,10.228859994393929,True
ARM,Armenia,51,1.55,2.67,7.64,Armenia,76188.09974986571,14.0,83618.42410714286,1.1139859727450772,Armenia,12298.803017816284,14.0,0.9820784724121582,11.240960558217132,126.35919427139322,9.417257221000344,True
BGD,Bangladesh,206,1.57,2.68,4.6,Bangladesh,33351.60582093797,14.0,1950574.125,56.47029168265207,Bangladesh,4855.68539311953,14.0,0.9858167945227654,10.414861200737432,108.46933383062594,8.487905543391689,True
BLR,Belarus,95,1.16,1.86,3.1,Belarus,121643.58815919941,14.0,535409.6428571428,4.433406761714391,Belarus,24269.938508720188,14.0,0.62057648772511,11.70885063954104,137.09718329908063,10.096993765084154,True
BEN,Benin,47,1.13,1.93,3.76,Benin,19915.608212346157,14.0,69759.40178571429,3.4743080139160134,Benin,2888.2707934626565,14.0,0.6575200029167941,9.899259035563464,97.99532945318488,7.968413260666446,True
BTN,Bhutan,86,1.06,1.7,4.3,Bhutan,178339.13051029688,14.0,49381.19768415178,0.27423974445887983,Bhutan,11088.546694201834,14.0,0.5306282510621704,12.09144224421605,146.2029755452125,9.313668025246864,True
BOL,Bolivia,101,1.28,2.28,4.93,Bolivia (Plurinational State of),33344.3755593538,14.0,163589.1997767857,4.799303122929166,Bolivia,10191.770003174199,14.0,0.8241754429663494,10.414644388226007,108.46481773320745,9.229335811149765,True
BIH,Bosnia and Herzegovina,76,1.5,2.2,3.82,Bosnia and Herzegovina,177814.28718931516,14.0,127982.78683035714,0.7398208252021244,Bosnia and Herzegovina,13378.495302114936,14.0,0.7884573603642703,12.088494954229093,146.13171025842223,9.501403868622457,True
BWA,Botswana,81,0.7,1.16,2.05,Botswana,157683.28833918078,14.0,131268.48158482142,0.8269494601658414,Botswana,16071.538342249836,14.0,0.14842000511827322,11.968343796119429,143.24125322211043,9.684805181732408,True
BGR,Bulgaria,51,1.02,2.35,4.82,Bulgaria,104687.0967357161,14.0,341906.49776785716,3.2841515711375657,Bulgaria,23526.37930900668,14.0,0.8544153281560676,11.558731148917362,133.6042657729525,10.065877594361028,True
KHM,Cambodia,46,1.16,2.5,6.39,Cambodia,24748.92233529187,14.0,197068.55301339287,7.788405895233154,Cambodia,4481.243967609736,14.0,0.9162907318741551,10.116537225040446,102.34432542562905,8.407655958206938,True
CMR,Cameroon,55,0.9,1.47,2.95,Cameroon,21295.104438363393,14.0,175529.47042410713,8.173768656594413,Cameroon,4511.942501718268,14.0,0.3852624007906449,9.966232486706096,99.32578997907596,8.414483049683193,True
TCD,Chad,54,0.82,1.28,2.48,Chad,12101.971528840122,14.0,57104.35505022322,4.592900003705707,Chad,2672.3898686153816,14.0,0.2468600779315258,9.401123654579939,88.38112596870246,7.890728432925808,True
CHL,Chile,469,1.58,2.38,3.6,Chile,211704.54380558888,14.0,1578064.0892857143,7.343436207090105,Chile,25906.78718083983,14.0,0.8671004876833833,12.262946920310613,150.37986717035554,10.162260266671936,True
COL,Colombia,573,1.51,2.33,3.89,Colombia,103615.54690413184,14.0,2057665.044642857,19.80012607574461,Colombia,15353.273221122505,14.0,0.8458682675776092,11.548442664190846,133.36652796810336,9.63908396944418,True
HRV,Croatia,48,1.03,1.32,2.11,Croatia,323733.5350625896,14.0,536340.9732142857,1.6682764206613816,Croatia,30268.37568478127,14.0,0.27763173659827955,12.687676033753096,160.9771231374727,10.317858739683377,True
CZE,Czech Republic,54,1.2,2.06,3.92,Czechia,418583.9167187029,14.0,2172331.5535714286,5.178377968924387,Czechia,41280.41449551912,14.0,0.7227059828014898,12.944632666657014,167.56351487468388,10.628143441178656,True
CIV,Cote d'Ivoire,68,0.29,0.89,2.16,Côte d'Ivoire,20817.476017189063,14.0,187795.115234375,8.604282379150387,Cote d'Ivoire,4710.330815288673,14.0,-0.11653381625595151,9.943548106058827,98.87414893750609,8.457513421335626,True
COD,Democratic Republic of the Congo,107,1.09,1.95,4.46,D.R. of the Congo,10983.368680360783,14.0,275262.18303571426,24.79742418016705,"Congo, Dem. Rep.",1270.2415480335935,14.0,0.6678293725756554,9.304137469499622,86.56697405134683,7.146962356669846,True
ECU,Ecuador,126,1.48,2.37,4.39,Ecuador,115673.13192534915,14.0,841591.1919642857,7.185011523110526,Ecuador,12799.668340849941,14.0,0.8628899551470398,11.65852366430699,135.9211740312061,9.457174538700917,True
EGY,Egypt,1403,1.47,2.76,6.62,Egypt,71637.96809248599,14.0,1717659.732142857,23.68559265136719,"Egypt, Arab Rep.",13163.038185860878,14.0,1.0152306797290584,11.179380493020966,124.9785482077377,9.485168043421039,True
SLV,El Salvador,187,1.29,2.2,4.3,El Salvador,63502.88748756074,14.0,171694.0619419643,2.6481209482465475,El Salvador,9293.211267543697,14.0,0.7884573603642703,11.058840656092002,122.29795665683338,9.137039441350758,True
EST,Estonia,54,0.95,1.47,3.3,Estonia,299100.1925556726,14.0,184257.71595982142,0.6166521438530514,Estonia,35410.8011395911,14.0,0.3852624007906449,12.608533888401425,158.97512681496715,10.474772169520762,True
ETH,Ethiopia,156,1.19,3.27,6.47,Ethiopia,8697.887613785273,14.0,388873.0848214286,43.059855324881426,Ethiopia,1683.789467690313,14.0,1.184789984909162,9.070835472148064,82.28005616277959,7.428802167800447,True
GEO,Georgia,54,1.08,2.67,4.6,Georgia,180618.85462808254,14.0,174482.86328125,0.9555522799491882,Georgia,13465.197706449486,14.0,0.9820784724121582,12.10414431444974,146.510309585026,9.507863688127099,True
GTM,Guatemala,386,1.54,2.59,4.43,Guatemala,73713.70175929333,14.0,437535.9140625,5.815173728125437,Guatemala,10353.37049725049,14.0,0.9516578757114463,11.207943973506957,125.61800811327092,9.2450673975887,True
HND,Honduras,120,1.2,2.3,5.37,Honduras,52538.5066691385,14.0,174495.09542410713,3.2446565628051762,Honduras,5697.275363133689,14.0,0.8329091229351039,10.869301640093658,118.14171814334269,8.647743333073356,True
HUN,Hungary,45,1.57,3.21,6.52,Hungary,324758.2948278504,14.0,1372924.5982142857,4.206951328686306,Hungary,30677.401972744756,14.0,1.1662709371419244,12.690836476401724,161.05733047076853,10.331281570433479,True
IDN,Indonesia,531,1.3,2.3,6.29,Indonesia,113086.0278675287,14.0,13175046.142857144,113.41445105416423,Indonesia,9950.09945839537,14.0,0.8329091229351039,11.635904116608314,135.3942646109023,9.20533782592131,True
JOR,Jordan,87,1.56,2.69,5.51,Jordan,207838.57799238336,14.0,399301.4386160714,1.8927351747240342,Jordan,10180.579801782113,14.0,0.9895411936137477,12.244516990042989,149.92819631945142,9.22823724347106,True
KAZ,Kazakhstan,34,1.39,1.81,5.41,Kazakhstan,118269.71686337257,14.0,995311.3080357143,8.368314879281183,Kazakhstan,28563.845702691207,14.0,0.5933268452777344,11.680723031257115,136.4392905329404,10.259897060844132,True
KEN,Kenya,301,1.04,2.18,4.79,Kenya,23086.027691080515,14.0,416994.14620535716,17.892651012965615,Kenya,4464.066333939451,14.0,0.7793248768009977,10.046982851649167,100.94186442133243,8.403815363704203,True
XXK,Kosovo,35,2.16,4.34,8.05,,,,,,,,,1.4678743481123135,,,,False
KGZ,Kyrgyz Republic,59,1.71,3.08,6.51,Kyrgyzstan,25429.32977314432,14.0,63628.249720982145,2.4345857586179465,Kyrgyz Republic,5269.620366376788,14.0,1.1249295969854831,10.14365850231361,102.89380781155918,8.56971360219999,True
LAO,Lao PDR,103,1.26,1.97,3.83,Lao People's DR,37417.19949201378,14.0,124272.95340401786,3.239368302481515,Lao PDR,5869.534425018822,14.0,0.6780335427498971,10.52988575715608,110.87849405875848,8.67753059536975,True
LVA,Latvia,44,1.07,2.17,3.42,Latvia,435045.58485621586,14.0,394986.7176339286,0.9209670807634079,Latvia,29206.39686124353,14.0,0.7747271675523681,12.983206097353353,168.56364056635329,10.282143034854448,True
LBN,Lebanon,155,1.71,3.03,5.73,Lebanon,342838.4471370569,14.0,656732.8191964285,1.89157623052597,Lebanon,15747.49596585065,14.0,1.1085626195212777,12.745014615592506,162.4353975516666,9.664436645318922,True
LBR,Liberia,48,0.16,1.58,6.11,Liberia,17244.871079830486,14.0,15288.08775111607,0.8582758860928674,Liberia,1594.913771503228,14.0,0.4574248470388755,9.755270049543084,95.16529373951232,7.374574952004093,True
LTU,Lithuania,54,0.72,1.64,2.89,Lithuania,232976.30210077247,14.0,322112.58928571426,1.3885759030069622,Lithuania,32884.84164788756,14.0,0.494696241836107,12.35869201965325,152.7372684366409,10.400767090394302,True
MWI,Malawi,54,1.0,2.8,5.38,Malawi,6842.051235106005,14.0,35927.3994140625,5.2721554551805765,Malawi,1515.938293849848,14.0,1.0296194171811581,8.830842853832518,77.98378550908485,7.323789862108645,True
MLI,Mali,149,0.08,0.91,2.95,Mali,9724.350542711722,14.0,51310.23186383928,5.128722735813684,Mali,2651.7177734695874,14.0,-0.09431067947124129,9.182388384016175,84.31625643491518,7.882962925382379,True
MEX,Mexico,257,1.32,2.38,4.5,Mexico,200309.2495192704,14.0,9851028.857142856,48.71827316284181,Mexico,21014.493368191528,14.0,0.8671004876833833,12.207617698916582,149.02592988290138,9.952967639044473,True
MDA,Moldova,77,1.46,3.09,4.71,Republic of Moldova,62629.483125945764,14.0,68480.6328125,1.1192415612084525,Moldova,11031.974101776364,14.0,1.128171090909654,11.0449914226664,121.99183552677432,9.308553071915666,True
MNG,Mongolia,112,1.18,2.15,2.98,Mongolia,138444.6658257831,14.0,161889.0630580357,1.1682695959295544,Mongolia,12018.916802197773,14.0,0.7654678421395714,11.838226000054677,140.14359482837057,9.394237087738778,True
MNE,Montenegro,43,1.21,2.26,5.01,Montenegro,177439.64299552134,14.0,38324.63978794643,0.2149292794721467,Montenegro,20682.285928627203,14.0,0.8153648132841944,12.08638579060923,146.08072147944068,9.937032860648253,True
MAR,Morocco,79,1.91,3.73,8.27,Morocco,114534.796743796,14.0,1268409.861607143,11.009044170379628,Morocco,7669.966413225447,14.0,1.3164082336557241,11.648633957500207,135.69067307582694,8.945067515371981,True
MMR,Myanmar,236,1.56,2.74,5.09,Myanmar,20222.06659583567,14.0,436623.84933035716,21.152881622314457,Myanmar,4571.029209337469,14.0,1.007957920399979,9.914529692882777,98.29789903105424,8.427493668452975,True
NPL,Nepal,164,1.19,2.14,5.41,Nepal,19697.39518811073,14.0,265830.9375,13.256519521985735,Nepal,3452.206218941851,14.0,0.7608058290337602,9.888241682029951,97.77732356223453,8.146768789394061,True
NIC,Nicaragua,203,1.31,2.39,4.85,Nicaragua,51625.0053256642,14.0,123264.90345982143,2.3695317506790157,Nicaragua,6357.0876391196925,14.0,0.8712933659434193,10.851761433423894,117.7607262079462,8.757325633080123,True
NGA,Nigeria,239,0.52,1.05,2.62,Nigeria,74034.18069835483,14.0,4194000.6428571427,57.994603020804284,Nigeria,8060.396520599454,14.0,0.04879016416943205,11.212282166871844,125.71527138955238,8.994718030394736,True
MKD,North Macedonia,120,1.11,2.38,5.06,North Macedonia,180133.1773088714,14.0,138199.36216517858,0.7650590453829084,North Macedonia,17887.66006549191,14.0,0.8671004876833833,12.10145173023873,146.44513397929796,9.791866372279843,True
PAK,Pakistan,135,1.74,3.5,10.29,Pakistan,27841.513182266244,14.0,1548427.4017857143,54.8679073878697,Pakistan,4554.021887735637,14.0,1.252762968495368,10.234283465782584,104.74055805799077,8.423766052878195,True
PAN,Panama,42,0.96,2.14,3.54,Panama,173234.42457247616,14.0,293267.0496651786,1.5994732379913328,Panama,26596.133522281958,14.0,0.7608058290337602,12.062401011553202,145.5015181635197,10.18852112789935,True
PRY,Paraguay,126,1.37,2.31,4.57,Paraguay,110141.49839246999,14.0,269045.63058035716,2.4243013688496187,Paraguay,13375.649992037843,14.0,0.8372475245337022,11.609521167158924,134.78098173071112,9.501191168118925,True
PER,Peru,476,1.59,2.67,4.36,Peru,75649.06920522195,14.0,1157555.2276785714,15.0263021332877,Peru,13146.247433283954,14.0,0.9820784724121582,11.23386041517811,126.1996198277057,9.483891630591009,True
PHL,Philippines,182,2.07,3.57,8.58,Philippines,58450.530815075304,14.0,2234467.5089285714,37.62986401149205,Philippines,7140.221357787768,14.0,1.2725655957915476,10.975936048382936,120.47117213819202,8.873499057344347,True
POL,Poland,31,0.85,1.55,3.96,Poland,158441.28870649557,14.0,2511006.9196428573,15.744887488228937,Poland,29761.864242095813,14.0,0.4382549309311553,11.973139385422135,143.35606674274675,10.300983129528609,True
ROU,Romania,86,1.28,2.44,7.86,Romania,166390.75420100344,14.0,1452764.8035714286,8.806399890354701,Romania,28275.50225233619,14.0,0.8919980393051105,12.022094242129633,144.53074996664648,10.24975106395074,True
RUS,Russia,256,1.02,1.74,3.28,Russian Federation,251955.8211722242,14.0,18053850.42857143,71.5676977975028,Russian Federation,34534.322963169645,14.0,0.5538851132264376,12.43700903831584,154.67919381914987,10.449708976963441,True
RWA,Rwanda,92,0.96,1.99,5.89,Rwanda,8139.401241760967,14.0,35747.642299107145,4.264853085790362,Rwanda,2010.8845636031733,14.0,0.688134638736401,9.004471898767877,81.08051417570037,7.606329985640319,True
SEN,Senegal,188,0.95,1.53,3.0,Senegal,26803.884675254205,14.0,132359.65011160713,4.928680964878628,Senegal,3545.2723317759724,14.0,0.4252677354043441,10.196302106563817,103.96457664831773,8.173370257391067,True
SRB,Serbia,116,1.46,2.59,5.38,Serbia,234457.8899631432,14.0,605294.28125,2.5989538942064563,Serbia,18336.21169929993,14.0,0.9516578757114463,12.365031277025242,152.89399848181247,9.816633165003005,True
SLE,Sierra Leone,35,0.48,1.42,10.4,Sierra Leone,7282.773677880813,14.0,17225.76876395089,2.3578872765813554,Sierra Leone,2644.0125249541297,14.0,0.35065687161316933,8.893267068337675,79.09019914877938,7.880052938083704,True
SVN,Slovenia,88,1.21,1.58,2.32,Slovenia,438750.35791182995,14.0,421870.06026785716,0.9612545285906108,Slovenia,39434.56478485976,14.0,0.4574248470388755,12.991685869515338,168.7839017321645,10.58239798950543,True
ZAF,South Africa,173,0.76,1.3,2.48,South Africa,152878.69968482715,14.0,2619057.348214286,16.99046673093523,South Africa,14334.221988764813,14.0,0.26236426446749106,11.937400073415052,142.5015205127697,9.570405103301868,True
SUR,Suriname,37,1.11,1.46,1.94,Suriname,218643.36861384413,14.0,45296.27915736607,0.2057954019733838,Suriname,22680.42764611057,14.0,0.37843643572024505,12.295197227608417,151.1718748657897,10.029257613312536,True
TJK,Tajikistan,31,1.2,2.05,6.02,Tajikistan,146150.5992633799,14.0,345290.93526785716,2.330707226480757,Tajikistan,2789.271764534253,14.0,0.7178397931503168,11.892392870862015,141.42900819492968,7.933535824448763,True
TZA,Tanzania,155,0.88,1.9,4.4,U.R. of Tanzania: Mainland,21795.495331042912,14.0,422317.640625,19.351864133562373,Tanzania,2895.8943394252265,14.0,0.6418538861723947,9.989458591234289,99.78928294598455,7.971049267834911,True
TLS,Timor-Leste,104,0.73,1.11,2.57,,,,,,Timor-Leste,4107.471827800152,14.0,0.10436001532424286,,,8.320562991166089,False
TUN,Tunisia,150,1.42,2.99,6.79,Tunisia,148322.902541766,14.0,523804.92410714284,3.555967722620282,Tunisia,12440.1691034617,14.0,1.095273387402595,11.907146950064554,141.7801484904316,9.42868595972664,True
TUR,Turkiye,468,2.36,4.23,8.04,Türkiye,270493.908078517,14.0,6850772.910714285,24.674665723528193,Turkiye,23478.936872158945,14.0,1.4422019930581866,12.508004856048407,156.45018547893054,10.063858994899872,True
UGA,Uganda,151,0.87,1.54,3.23,Uganda,18143.662152304936,14.0,215658.46372767858,11.90448454448156,Uganda,2360.2417299448175,14.0,0.43178241642553783,9.806076586000554,96.15913801050827,7.766519320716991,True
UKR,Ukraine,140,1.04,1.96,3.92,Ukraine,248988.0205313403,14.0,4528749.964285715,19.223806517464777,Ukraine,17125.080147879464,14.0,0.6729444732424258,12.425160063973603,154.3846026153645,9.748299343287618,True
URY,Uruguay,189,1.3,2.24,3.66,Uruguay,187463.48912673132,14.0,288924.6316964286,1.5332628062793192,Uruguay,26324.543004182247,14.0,0.8064758658669485,12.141339380773863,147.41212195913025,10.178256977086336,True
UZB,Uzbekistan,108,1.5,3.03,6.31,Uzbekistan,58953.43687419264,14.0,732926.6964285715,12.115435736519936,Uzbekistan,6606.70492826953,14.0,1.1085626195212777,10.984503205779072,120.65931067777072,8.795840310561793,True
VNM,Vietnam,272,2.04,4.03,10.14,Viet Nam,37736.11229362102,14.0,1946616.642857143,50.592558452061255,Viet Nam,8422.91667779948,14.0,1.3937663759585917,10.538372800728723,111.05730128713896,9.0387114460427,True
PSE,West Bank and Gaza,62,2.19,4.47,11.56,State of Palestine,119622.25219237102,14.0,98893.32868303571,0.8169879700456347,West Bank and Gaza,5763.934021408572,14.0,1.4973884086254774,11.69209415831272,136.70506580685043,8.659375510386406,True
YEM,Yemen,59,1.49,2.99,6.89,Yemen,64900.73211516844,14.0,385185.859375,5.95128529412406,"Yemen, Rep.",,0.0,1.095273387402595,11.080614183293708,122.78001067900969,,False
ZMB,Zambia,248,0.78,1.37,2.82,Zambia,60020.41504427207,14.0,254888.20926339287,4.197546243667602,Zambia,3333.388186389827,14.0,0.3148107398400336,11.00244003406995,121.05368670330517,8.111744539089624,True
ZWE,Zimbabwe,327,0.82,1.84,3.67,Zimbabwe,13395.05892546475,14.0,65823.673828125,4.943104062761579,Zimbabwe,4491.550331907528,14.0,0.6097655716208943,9.502641181033217,90.30018941546838,8.409953206641768,True
